einzelplan;einzelplan-text;einahmen-ausgaben;einahmen-ausgaben-text;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll ;titelgruppe;tgr-text
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0112";"Bundespräsidialamt";"51802";"011";"Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement";"nein";"14";15956;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0112";"Bundespräsidialamt";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"14";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51111";"011";"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung";"nein";"15";43;"01";"Ausgaben für den Schutz der informationstechnischen Systeme des Bundes";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"52511";"011";"Aus- und Fortbildung";"nein";"15";10;"01";"Ausgaben für den Schutz der informationstechnischen Systeme des Bundes";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53211";"011";"Aufträge und Dienstleistungen im Bereich Informationstechnik";"nein";"15";448;"01";"Ausgaben für den Schutz der informationstechnischen Systeme des Bundes";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"81212";"011";"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik";"nein";"15";229;"01";"Ausgaben für den Schutz der informationstechnischen Systeme des Bundes";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"42201";"011";"Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten";"ja";"15";8276;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"42709";"011";"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige";"ja";"15";961;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"42801";"011";"Entgelte der Arbeitnehmerinnen und Arbeitnehmer";"ja";"15";10346;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"45301";"011";"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen";"ja";"15";50;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51101";"011";"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung";"ja";"16";1538;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51401";"011";"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.";"ja";"16";210;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51701";"011";"Bewirtschaftung der Grundstücke, Gebäude und Räume";"ja";"16";3978;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51801";"011";"Mieten und Pachten";"ja";"16";382;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"51901";"011";"Unterhaltung der Grundstücke und baulichen Anlagen";"ja";"16";812;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"52501";"011";"Aus- und Fortbildung";"ja";"16";130;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"52604";"011";"Kosten der Kommission unabhängiger Sachverständiger gemäß § 18 Abs. 6 Parteiengesetz";"ja";"16";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"52701";"011";"Dienstreisen";"ja";"16";300;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53201";"011";"Aufträge und Dienstleistungen im Bereich Informationstechnik";"ja";"16";915;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53203";"011";"Sonstige Dienstleistungsaufträge an Dritte";"ja";"16";300;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53204";"011";"Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland";"ja";"16";1600;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53205";"011";"Kosten für Orden und Ehrenzeichen";"ja";"17";120;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"53999";"011";"Vermischte Verwaltungsausgaben";"ja";"17";140;
